Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Joe Wilson ,Rep,18-Dec-01,RepJoeWilson,RepJoeWilson,RepJoeWilson,RepJoeWilson,SC-2
Jeff Duncan ,Rep,3-Jan-11,RepJeffDuncan,RepJeffDuncan,RepJeffDuncan,RepJeffDuncan,SC-3
William Timmons ,Rep,3-Jan-19,RepTimmons,RepTimmons,RepTimmons,RepTimmons,SC-4
Ralph Norman ,Rep,20-Jun-17,RepRalphNorman,RepRalphNorman,RepRalphNorman,RepRalphNorman,SC-5
Jim Clyburn ,Rep,3-Jan-93,WhipClyburn,WhipClyburn,WhipClyburn,WhipClyburn,SC-6
Tom Rice ,Rep,3-Jan-13,RepTomRice,RepTomRice,RepTomRice,RepTomRice,SC-7
Dusty Johnson ,Rep,3-Jan-19,RepDustyJohnson,RepDustyJohnson,RepDustyJohnson,RepDustyJohnson,SD-0
Tim Burchett ,Rep,3-Jan-19,RepTimBurchett,RepTimBurchett,RepTimBurchett,RepTimBurchett,TN-2
Chuck Fleischmann ,Rep,3-Jan-11,RepChuck,RepChuck,RepChuck,RepChuck,TN-3
Scott DesJarlais ,Rep,3-Jan-11,DesJarlaisTN04,DesJarlaisTN04,DesJarlaisTN04,DesJarlaisTN04,TN-4
Jim Cooper ,Rep,3-Jan-03,RepJimCooper,RepJimCooper,RepJimCooper,RepJimCooper,TN-5
John Rose ,Rep,3-Jan-19,RepJohnRose,RepJohnRose,RepJohnRose,RepJohnRose,TN-6
Mark E. Green,Rep,3-Jan-19,RepMarkGreen,RepMarkGreen,RepMarkGreen,RepMarkGreen,TN-7
David Kustoff ,Rep,3-Jan-17,repdavidkustoff,repdavidkustoff,repdavidkustoff,repdavidkustoff,TN-8
Steve Cohen ,Rep,3-Jan-07,RepCohen,RepCohen,RepCohen,RepCohen,TN-9
Louie Gohmert ,Rep,3-Jan-05,RepLouieGohmert,RepLouieGohmert,RepLouieGohmert,RepLouieGohmert,TX-1
Michael McCaul ,Rep,3-Jan-05,RepMcCaul,RepMcCaul,RepMcCaul,RepMcCaul,TX-10
Mike Conaway ,Rep,3-Jan-05,ConawayTX11,ConawayTX11,ConawayTX11,ConawayTX11,TX-11
Kay Granger ,Rep,3-Jan-97,RepKayGranger,RepKayGranger,RepKayGranger,RepKayGranger,TX-12
Mac Thornberry ,Rep,3-Jan-95,MacTXPress,MacTXPress,MacTXPress,MacTXPress,TX-13
Randy Weber ,Rep,3-Jan-13,TXRandy14,TXRandy14,TXRandy14,TXRandy14,TX-14
Vicente González ,Rep,3-Jan-17,RepGonzalez,RepGonzalez,RepGonzalez,RepGonzalez,TX-15
Veronica Escobar ,Rep,3-Jan-19,RepEscobar,RepEscobar,RepEscobar,RepEscobar,TX-16
Bill Flores ,Rep,3-Jan-11,RepBillFlores,RepBillFlores,RepBillFlores,RepBillFlores,TX-17
Sheila Jackson Lee,Rep,3-Jan-95,JacksonLeeTX18,JacksonLeeTX18,JacksonLeeTX18,JacksonLeeTX18,TX-18
Jodey Arrington ,Rep,3-Jan-17,RepArrington,RepArrington,RepArrington,RepArrington,TX-19
Dan Crenshaw ,Rep,3-Jan-19,RepDanCrenshaw,RepDanCrenshaw,RepDanCrenshaw,RepDanCrenshaw,TX-2
Joaquín Castro ,Rep,3-Jan-13,JoaquinCastrotx,JoaquinCastrotx,JoaquinCastrotx,JoaquinCastrotx,TX-20
Chip Roy ,Rep,3-Jan-19,RepChipRoy,RepChipRoy,RepChipRoy,RepChipRoy,TX-21
Pete Olson ,Rep,3-Jan-09,RepPeteOlson,RepPeteOlson,RepPeteOlson,RepPeteOlson,TX-22
Will Hurd ,Rep,3-Jan-15,hurdonthehill,hurdonthehill,hurdonthehill,hurdonthehill,TX-23
Kenny Marchant ,Rep,3-Jan-05,RepKenMarchant,RepKenMarchant,RepKenMarchant,RepKenMarchant,TX-24
Roger Williams ,Rep,3-Jan-13,RepRWilliams,RepRWilliams,RepRWilliams,RepRWilliams,TX-25
Michael Burgess ,Rep,3-Jan-03,MichaelCBurgess,MichaelCBurgess,MichaelCBurgess,MichaelCBurgess,TX-26
Michael Cloud ,Rep,10-Jul-18,RepCloudTX,RepCloudTX,RepCloudTX,RepCloudTX,TX-27
Henry Cuellar ,Rep,3-Jan-05,RepCuellar,RepCuellar,RepCuellar,RepCuellar,TX-28
Sylvia Garcia ,Rep,3-Jan-19,RepSylviaGarcia,RepSylviaGarcia,RepSylviaGarcia,RepSylviaGarcia,TX-29
Van Taylor ,Rep,3-Jan-19,RepVanTaylor,RepVanTaylor,RepVanTaylor,RepVanTaylor,TX-3
Eddie Bernice Johnson,Rep,3-Jan-93,RepEBJ,RepEBJ,RepEBJ,RepEBJ,TX-30
John Carter ,Rep,3-Jan-03,JudgeCarter,JudgeCarter,JudgeCarter,JudgeCarter,TX-31
Colin Allred ,Rep,3-Jan-19,RepColinAllred,RepColinAllred,RepColinAllred,RepColinAllred,TX-32
Marc Veasey ,Rep,3-Jan-13,RepVeasey,RepVeasey,RepVeasey,RepVeasey,TX-33
Filemon Vela Jr.,Rep,3-Jan-13,RepFilemonVela,RepFilemonVela,RepFilemonVela,RepFilemonVela,TX-34
Lloyd Doggett ,Rep,3-Jan-95,RepLloydDoggett,RepLloydDoggett,RepLloydDoggett,RepLloydDoggett,TX-35
Brian Babin ,Rep,3-Jan-15,RepBrianBabin,RepBrianBabin,RepBrianBabin,RepBrianBabin,TX-36
John Ratcliffe ,Rep,3-Jan-15,RepRatcliffe,RepRatcliffe,RepRatcliffe,RepRatcliffe,TX-4
Lance Gooden ,Rep,3-Jan-19,RepLanceGooden,RepLanceGooden,RepLanceGooden,RepLanceGooden,TX-5
Ron Wright ,Rep,3-Jan-19,RepRonWright,RepRonWright,RepRonWright,RepRonWright,TX-6
Lizzie Fletcher ,Rep,3-Jan-19,RepFletcher,RepFletcher,RepFletcher,RepFletcher,TX-7
Kevin Brady ,Rep,3-Jan-97,RepKevinBrady,RepKevinBrady,RepKevinBrady,RepKevinBrady,TX-8
Al Green ,Rep,3-Jan-05,RepAlGreen,RepAlGreen,RepAlGreen,RepAlGreen,TX-9
Rob Bishop ,Rep,3-Jan-03,RepRobBishop,RepRobBishop,RepRobBishop,RepRobBishop,UT-1
Chris Stewart ,Rep,3-Jan-13,RepChrisStewart,RepChrisStewart,RepChrisStewart,RepChrisStewart,UT-2
John Curtis ,Rep,13-Nov-17,RepJohnCurtis,RepJohnCurtis,RepJohnCurtis,RepJohnCurtis,UT-3
Ben McAdams ,Rep,3-Jan-19,RepBenMcAdams,RepBenMcAdams,RepBenMcAdams,RepBenMcAdams,UT-4
Rob Wittman ,Rep,11-Dec-07,RobWittman,RobWittman,RobWittman,RobWittman,VA-1
Jennifer Wexton ,Rep,3-Jan-19,RepWexton,RepWexton,RepWexton,RepWexton,VA-10
Gerry Connolly ,Rep,3-Jan-09,GerryConnolly,GerryConnolly,GerryConnolly,GerryConnolly,VA-11
Elaine Luria ,Rep,3-Jan-19,RepElaineLuria,RepElaineLuria,RepElaineLuria,RepElaineLuria,VA-2
Bobby Scott ,Rep,3-Jan-93,BobbyScott,BobbyScott,BobbyScott,BobbyScott,VA-3
Donald McEachin ,Rep,3-Jan-17,RepMcEachin,RepMcEachin,RepMcEachin,RepMcEachin,VA-4
Denver Riggleman ,Rep,3-Jan-19,RepRiggleman,RepRiggleman,RepRiggleman,RepRiggleman,VA-5
Ben Cline ,Rep,3-Jan-19,RepBenCline,RepBenCline,RepBenCline,RepBenCline,VA-6
Abigail Spanberger ,Rep,3-Jan-19,RepSpanberger,RepSpanberger,RepSpanberger,RepSpanberger,VA-7
Don Beyer ,Rep,3-Jan-15,RepDonBeyer,RepDonBeyer,RepDonBeyer,RepDonBeyer,VA-8
Morgan Griffith ,Rep,3-Jan-11,RepMGriffith,RepMGriffith,RepMGriffith,RepMGriffith,VA-9
Stacey Plaskett ,Rep,3-Jan-15,staceyplaskett,staceyplaskett,staceyplaskett,staceyplaskett,VI-0
Peter Welch ,Rep,3-Jan-07,PeterWelch,PeterWelch,PeterWelch,PeterWelch,VT-0
Suzan DelBene ,Rep,13-Nov-12,RepDelBene,RepDelBene,RepDelBene,RepDelBene,WA-1
Dennis Heck ,Rep,3-Jan-13,RepDennyHeck,RepDennyHeck,RepDennyHeck,RepDennyHeck,WA-10
Rick Larsen ,Rep,3-Jan-01,RepRickLarsen,RepRickLarsen,RepRickLarsen,RepRickLarsen,WA-2
Jaime Herrera Beutler,Rep,3-Jan-11,HerreraBeutler,HerreraBeutler,HerreraBeutler,HerreraBeutler,WA-3
Dan Newhouse ,Rep,3-Jan-15,RepNewhouse,RepNewhouse,RepNewhouse,RepNewhouse,WA-4
Cathy McMorris Rodgers,Rep,3-Jan-05,CathyMcMorris,CathyMcMorris,CathyMcMorris,CathyMcMorris,WA-5
Derek Kilmer ,Rep,3-Jan-13,RepDerekKilmer,RepDerekKilmer,RepDerekKilmer,RepDerekKilmer,WA-6
Pramila Jayapal ,Rep,3-Jan-17,RepJayapal,RepJayapal,RepJayapal,RepJayapal,WA-7
Kim Schrier ,Rep,3-Jan-19,RepKimSchrier,RepKimSchrier,RepKimSchrier,RepKimSchrier,WA-8
Adam Smith ,Rep,3-Jan-97,RepAdamSmith,RepAdamSmith,RepAdamSmith,RepAdamSmith,WA-9
Bryan Steil ,Rep,3-Jan-19,RepBryanSteil,RepBryanSteil,RepBryanSteil,RepBryanSteil,WI-1
Mark Pocan ,Rep,3-Jan-13,RepMarkPocan,RepMarkPocan,RepMarkPocan,RepMarkPocan,WI-2
Ron Kind ,Rep,3-Jan-97,RepRonKind,RepRonKind,RepRonKind,RepRonKind,WI-3
Gwen Moore ,Rep,3-Jan-05,RepGwenMoore,RepGwenMoore,RepGwenMoore,RepGwenMoore,WI-4
Jim Sensenbrenner ,Rep,3-Jan-79,JimPressOffice,JimPressOffice,JimPressOffice,JimPressOffice,WI-5
Glenn Grothman ,Rep,3-Jan-15,RepGrothman,RepGrothman,RepGrothman,RepGrothman,WI-6
Sean Duffy ,Rep,3-Jan-11,RepSeanDuffy,RepSeanDuffy,RepSeanDuffy,RepSeanDuffy,WI-7
Mike Gallagher ,Rep,3-Jan-17,RepGallagher,RepGallagher,RepGallagher,RepGallagher,WI-8
David McKinley ,Rep,3-Jan-11,RepMcKinley,RepMcKinley,RepMcKinley,RepMcKinley,WV-1
Alex Mooney ,Rep,3-Jan-15,RepAlexMooney,RepAlexMooney,RepAlexMooney,RepAlexMooney,WV-2
Carol Miller ,Rep,3-Jan-19,RepCarolMiller,RepCarolMiller,RepCarolMiller,RepCarolMiller,WV-2
Liz Cheney ,Rep,3-Jan-17,RepLizCheney,RepLizCheney,RepLizCheney,RepLizCheney,WY-0
Marco Rubio ,Sen,3-Jan-11,marcorubio,marcorubio,SenRubioPress,SenRubioPress,
James Inhofe ,Sen,16-Nov-94,JimInhofe,JimInhofe,InhofePress,InhofePres,
Chris Murphy ,Sen,3-Jan-13,ChrisMurphyCT,ChrisMurphyCT,senmurphyoffice,senmurphyoffice,
Rick Scott ,Sen,8-Jan-19,SenRickScott,SenRickScott,,,
Bill Cassidy ,Sen,3-Jan-15,SenBillCassidy,SenBillCassidy,SenBillCassidy,,
Tim Kaine ,Sen,3-Jan-13,timkaine,timkaine,,,
Doug Jones ,Sen,3-Jan-18,sendougjones,sendougjones,sendougjones,sendougjones,
Richard Shelby ,Sen,3-Jan-87,SenShelby,SenShelby,SenShelby,SenShelby,
Dan Sullivan ,Sen,3-Jan-15,SenDanSullivan,SenDanSullivan,SenDanSullivan,SenDanSullivan,
Lisa Murkowski ,Sen,20-Dec-02,LisaMurkowski,LisaMurkowski,LisaMurkowski,LisaMurkowski,
Kyrsten Sinema ,Sen,3-Jan-19,SenatorSinema,SenatorSinema,SenatorSinema,SenatorSinema,
Martha McSally ,Sen,3-Jan-19,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,
Tom Cotton ,Sen,3-Jan-15,SenTomCotton,SenTomCotton,SenTomCotton,SenTomCotton,
John Boozman ,Sen,3-Jan-11,JohnBoozman,JohnBoozman,JohnBoozman,JohnBoozman,
Dianne Feinstein ,Sen,4-Nov-92,SenFeinstein,SenFeinstein,SenFeinstein,SenFeinstein,
Kamala Harris ,Sen,3-Jan-17,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,
Cory Gardner ,Sen,3-Jan-15,SenCoryGardner,SenCoryGardner,SenCoryGardner,SenCoryGardner,
Michael Bennet ,Sen,21-Jan-09,SenatorBennet,SenatorBennet,SenatorBennet,SenatorBennet,
Richard Blumenthal ,Sen,3-Jan-11,SenBlumenthal,SenBlumenthal,SenBlumenthal,SenBlumenthal,
Tom Carper ,Sen,3-Jan-01,SenatorCarper,SenatorCarper,SenatorCarper,SenatorCarper,
Chris Coons ,Sen,15-Nov-10,ChrisCoons,ChrisCoons,ChrisCoons,ChrisCoons,
David Perdue ,Sen,3-Jan-15,sendavidperdue,sendavidperdue,sendavidperdue,sendavidperdue,
Johnny Isakson ,Sen,3-Jan-05,SenatorIsakson,SenatorIsakson,SenatorIsakson,SenatorIsakson,
Mazie Hirono ,Sen,3-Jan-13,MazieHirono,MazieHirono,MazieHirono,MazieHirono,
Brian Schatz ,Sen,26-Dec-12,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,SenBrianSchatz,
Jim Risch ,Sen,3-Jan-09,SenatorRisch,SenatorRisch,SenatorRisch,SenatorRisch,
Mike Crapo ,Sen,3-Jan-99,MikeCrapo,MikeCrapo,MikeCrapo,MikeCrapo,
Dick Durbin ,Sen,3-Jan-15,SenatorDurbin,SenatorDurbin,SenatorDurbin,SenatorDurbin,
Tammy Duckworth ,Sen,3-Jan-17,SenDuckworth,SenDuckworth,SenDuckworth,SenDuckworth,
Mike Braun ,Sen,3-Jan-19,SenatorBraun,SenatorBraun,SenatorBraun,SenatorBraun,
Todd Young ,Sen,3-Jan-19,SenToddYoung,SenToddYoung,SenToddYoung,SenToddYoung,
Joni Ernst ,Sen,3-Jan-19,SenJoniErnst,SenJoniErnst,SenJoniErnst,SenJoniErnst,
Chuck Grassley ,Sen,3-Jan-19,ChuckGrassley,ChuckGrassley,ChuckGrassley,ChuckGrassley,
Pat Roberts ,Sen,3-Jan-97,SenPatRoberts,SenPatRoberts,SenPatRoberts,SenPatRoberts,
Jerry Moran ,Sen,3-Jan-11,JerryMoran,JerryMoran,JerryMoran,JerryMoran,
Mitch McConnell ,Sen,3-Jan-15,McConnellPress,McConnellPress,McConnellPress,McConnellPress,
Rand Paul ,Sen,3-Jan-11,RandPaul,RandPaul,RandPaul,RandPaul,
John Kennedy ,Sen,3-Jan-17,SenJohnKennedy,SenJohnKennedy,SenJohnKennedy,SenJohnKennedy,
Angus King ,Sen,3-Jan-13,SenAngusKing,SenAngusKing,SenAngusKing,SenAngusKing,
Susan Collins ,Sen,3-Jan-97,SenatorCollins,SenatorCollins,SenatorCollins,SenatorCollins,
Ben Cardin ,Sen,3-Jan-07,SenatorCardin,SenatorCardin,SenatorCardin,SenatorCardin,
Chris Van Hollen,Sen,3-Jan-17,ChrisVanHollen,ChrisVanHollen,ChrisVanHollen,ChrisVanHollen,
Elizabeth Warren ,Sen,3-Jan-13,SenWarren,SenWarren,SenWarren,SenWarren,
Ed Markey ,Sen,16-Jul-13,SenMarkey,SenMarkey,SenMarkey,SenMarkey,
Debbie Stabenow ,Sen,3-Jan-01,SenStabenow,SenStabenow,SenStabenow,SenStabenow,
Gary Peters ,Sen,3-Jan-19,SenGaryPeters,SenGaryPeters,SenGaryPeters,SenGaryPeters,
Amy Klobuchar ,Sen,3-Jan-07,SenAmyKlobuchar,SenAmyKlobuchar,SenAmyKlobuchar,SenAmyKlobuchar,
Tina Smith ,Sen,3-Jan-18,SenTinaSmith,SenTinaSmith,SenTinaSmith,SenTinaSmith,
Roger Wicker ,Sen,31-Dec-07,SenatorWicker,SenatorWicker,SenatorWicker,SenatorWicker,
Cindy Hyde-Smith ,Sen,9-Apr-18,SenHydeSmith,SenHydeSmith,SenHydeSmith,SenHydeSmith,
Josh Hawley ,Sen,3-Jan-19,SenHawleyPress,SenHawleyPress,SenHawleyPress,SenHawleyPress,
Roy Blunt ,Sen,10-Apr-18,RoyBlunt,RoyBlunt,RoyBlunt,RoyBlunt,
Jon Tester ,Sen,3-Jan-07,SenatorTester,SenatorTester,SenatorTester,SenatorTester,
Steve Daines ,Sen,3-Jan-15,SteveDaines,SteveDaines,SteveDaines,SteveDaines,
Deb Fischer ,Sen,3-Jan-13,SenatorFischer,SenatorFischer,SenatorFischer,SenatorFischer,
Ben Sasse ,Sen,3-Jan-15,SenSasse,SenSasse,SenSasse,SenSasse,
Jacky Rosen ,Sen,3-Jan-19,SenJackyRosen,SenJackyRosen,SenJackyRosen,SenJackyRosen,
Catherine Cortez Masto,Sen,3-Jan-19,sencortezmasto,sencortezmasto,sencortezmasto,sencortezmasto,
Jeanne Shaheen ,Sen,3-Jan-09,SenatorShaheen,SenatorShaheen,SenatorShaheen,SenatorShaheen,
Maggie Hassan ,Sen,3-Jan-17,Senatorhassan,Senatorhassan,Senatorhassan,Senatorhassan,
Robert Menendez ,Sen,17-Jan-06,SenatorMenendez,SenatorMenendez,SenatorMenendez,SenatorMenendez,
Cory Booker ,Sen,31-Oct-13,SenBooker,SenBooker,SenBooker,SenBooker,
Martin Heinrich ,Sen,3-Jan-13,MartinHeinrich,MartinHeinrich,MartinHeinrich,MartinHeinrich,
Tom Udall ,Sen,3-Jan-09,SenatorTomUdall,SenatorTomUdall,SenatorTomUdall,SenatorTomUdall,
Kirsten Gillibrand ,Sen,26-Jan-09,GillibrandNY,GillibrandNY,GillibrandNY,GillibrandNY,
Chuck Schumer ,Sen,3-Jan-17,SenSchumer,SenSchumer,SenSchumer,SenSchumer,
Thom Tillis ,Sen,3-Jan-15,senthomtillis,senthomtillis,senthomtillis,senthomtillis,
Richard Burr ,Sen,3-Jan-05,SenatorBurr,SenatorBurr,SenatorBurr,SenatorBurr,
Kevin Cramer ,Sen,3-Jan-19,SenKevinCramer,SenKevinCramer,SenKevinCramer,SenKevinCramer,
John Hoeven ,Sen,3-Jan-11,SenJohnHoeven,SenJohnHoeven,SenJohnHoeven,SenJohnHoeven,
Sherrod Brown ,Sen,3-Jan-07,SenSherrodBrown,SenSherrodBrown,SenSherrodBrown,SenSherrodBrown,
Rob Portman ,Sen,3-Jan-11,SenRobPortman,SenRobPortman,SenRobPortman,SenRobPortman,
James Lankford ,Sen,3-Jan-15,SenatorLankford,SenatorLankford,SenatorLankford,SenatorLankford,
Jeff Merkley ,Sen,3-Jan-09,SenJeffMerkley,SenJeffMerkley,SenJeffMerkley,SenJeffMerkley,
Ron Wyden ,Sen,5-Feb-96,RonWyden,RonWyden,RonWyden,RonWyden,
Bob Casey Jr.,Sen,3-Jan-07,SenBobCasey,SenBobCasey,SenBobCasey,SenBobCasey,
Pat Toomey ,Sen,3-Jan-11,SenToomey,SenToomey,SenToomey,SenToomey,
Sheldon Whitehouse ,Sen,3-Jan-07,SenWhitehouse,SenWhitehouse,SenWhitehouse,SenWhitehouse,
Jack Reed ,Sen,3-Jan-97,SenJackReed,SenJackReed,SenJackReed,SenJackReed,
Lindsey Graham ,Sen,3-Jan-03,GrahamBlog,GrahamBlog,GrahamBlog,GrahamBlog,
Tim Scott ,Sen,2-Jan-13,SenatorTimScott,SenatorTimScott,SenatorTimScott,SenatorTimScott,
Mike Rounds ,Sen,3-Jan-15,SenatorRounds,SenatorRounds,SenatorRounds,SenatorRounds,
John Thune ,Sen,3-Jan-19,SenJohnThune,SenJohnThune,SenJohnThune,SenJohnThune,
Marsha Blackburn ,Sen,3-Jan-19,MarshaBlackburn,MarshaBlackburn,MarshaBlackburn,MarshaBlackburn,
Lamar Alexander ,Sen,3-Jan-03,SenAlexander,SenAlexander,SenAlexander,SenAlexander,
Ted Cruz ,Sen,3-Jan-13,SenTedCruz,SenTedCruz,SenTedCruz,SenTedCruz,
John Cornyn ,Sen,2-Dec-02,JohnCornyn,JohnCornyn,JohnCornyn,JohnCornyn,
Mitt Romney ,Sen,3-Jan-19,SenatorRomney,SenatorRomney,SenatorRomney,SenatorRomney,
Mike Lee ,Sen,3-Jan-19,SenMikeLee,SenMikeLee,SenMikeLee,SenMikeLee,
Bernie Sanders ,Sen,3-Jan-07,SenSanders,SenSanders,SenSanders,SenSanders,
Patrick Leahy ,Sen,3-Jan-75,SenatorLeahy,SenatorLeahy,SenatorLeahy,SenatorLeahy,
Mark Warner ,Sen,3-Jan-17,MarkWarner,MarkWarner,MarkWarner,MarkWarner,
Maria Cantwell ,Sen,3-Jan-01,SenatorCantwell,SenatorCantwell,SenatorCantwell,SenatorCantwell,
Patty Murray ,Sen,3-Jan-17,PattyMurray,PattyMurray,PattyMurray,PattyMurray,
Joe Manchin ,Sen,15-Nov-10,Sen_JoeManchin,Sen_JoeManchin,Sen_JoeManchin,Sen_JoeManchin,
Shelley Moore Capito,Sen,3-Jan-15,SenCapito,SenCapito,SenCapito,SenCapito,
Tammy Baldwin ,Sen,3-Jan-13,SenatorBaldwin,SenatorBaldwin,SenatorBaldwin,SenatorBaldwin,
Ron Johnson ,Sen,3-Jan-11,SenRonJohnson,SenRonJohnson,SenRonJohnson,SenRonJohnson,
John Barrasso ,Sen,3-Jan-19,SenJohnBarrasso,SenJohnBarrasso,SenJohnBarrasso,SenJohnBarrasso,
Mike Enzi ,Sen,3-Jan-97,SenatorEnzi,SenatorEnzi,SenatorEnzi,SenatorEnzi,
Phil Roe ,Rep,3-Jan-09,DrPhilRoe,DrPhilRoe,DrPhilRoe,DrPhilRoe,TN-01
