Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Clay Higgins ,Rep,3-Jan-17,RepClayHiggins,RepClayHiggins,RepClayHiggins,RepClayHiggins,LA-3
Mike Johnson ,Rep,3-Jan-17,RepMikeJohnson,RepMikeJohnson,RepMikeJohnson,RepMikeJohnson,LA-4
Ralph Abraham ,Rep,3-Jan-15,RepAbraham,RepAbraham,RepAbraham,RepAbraham,LA-5
Garret Graves ,Rep,3-Jan-15,RepGarretGraves,RepGarretGraves,RepGarretGraves,RepGarretGraves,LA-6
Richard Neal ,Rep,3-Jan-89,RepRichardNeal,RepRichardNeal,RepRichardNeal,RepRichardNeal,MA-1
Jim McGovern ,Rep,3-Jan-97,RepMcGovern,RepMcGovern,RepMcGovern,RepMcGovern,MA-2
Lori Trahan ,Rep,3-Jan-19,RepLoriTrahan,RepLoriTrahan,RepLoriTrahan,RepLoriTrahan,MA-3
Joseph P. Kennedy,Rep,3-Jan-13,RepJoeKennedy,RepJoeKennedy,RepJoeKennedy,RepJoeKennedy,MA-4
Katherine Clark ,Rep,12-Dec-13,RepKClark,RepKClark,RepKClark,RepKClark,MA-5
Seth Moulton ,Rep,3-Jan-15,sethmoulton,sethmoulton,teammoulton,teammoulton,MA-6
Ayanna Pressley ,Rep,3-Jan-19,RepPressley,RepPressley,RepPressley,RepPressley,MA-7
Stephen F. Lynch,Rep,16-Oct-01,RepStephenLynch,RepStephenLynch,RepStephenLynch,RepStephenLynch,MA-8
Bill Keating ,Rep,3-Jan-11,USRepKeating,USRepKeating,USRepKeating,USRepKeating,MA-9
Andy Harris ,Rep,3-Jan-11,RepAndyHarrisMD,RepAndyHarrisMD,RepAndyHarrisMD,RepAndyHarrisMD,MD-1
Dutch Ruppersberger ,Rep,3-Jan-03,Call_Me_Dutch,Call_Me_Dutch,Call_Me_Dutch,Call_Me_Dutch,MD-2
John Sarbanes ,Rep,3-Jan-07,RepSarbanes,RepSarbanes,RepSarbanes,RepSarbanes,MD-3
Anthony G. Brown,Rep,3-Jan-17,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,MD-4
Steny Hoyer ,Rep,19-May-81,LeaderHoyer,LeaderHoyer,LeaderHoyer,LeaderHoyer,MD-5
David Trone ,Rep,3-Jan-19,repdavidtrone,repdavidtrone,repdavidtrone,repdavidtrone,MD-6
Elijah Cummings ,Rep,16-Apr-96,RepCummings,RepCummings,RepCummings,RepCummings,MD-7
Jamie Raskin ,Rep,3-Jan-17,repraskin,repraskin,repraskin,repraskin,MD-8
Chellie Pingree ,Rep,3-Jan-09,ChelliePingree,ChelliePingree,ChelliePingree,ChelliePingree,ME-1
Jared Golden ,Rep,3-Jan-19,repgolden,repgolden,repgolden,repgolden,ME-2
Jack Bergman ,Rep,3-Jan-19,RepJackBergman,RepJackBergman,RepJackBergman,RepJackBergman,MI-1
Paul Mitchell ,Rep,3-Jan-17,RepPaulMitchell,RepPaulMitchell,RepPaulMitchell,RepPaulMitchell,MI-10
Haley Stevens ,Rep,3-Jan-19,RepHaleyStevens,RepHaleyStevens,RepHaleyStevens,RepHaleyStevens,MI-11
Debbie Dingell ,Rep,3-Jan-15,RepDebDingell,RepDebDingell,RepDebDingell,RepDebDingell,MI-12
Rashida Tlaib ,Rep,3-Jan-19,RepRashida,RepRashida,RepRashida,RepRashida,MI-13
Brenda Lawrence ,Rep,3-Jan-15,RepLawrence,RepLawrence,RepLawrence,RepLawrence,MI-14
Bill Huizenga ,Rep,3-Jan-11,RepHuizenga,RepHuizenga,RepHuizenga,RepHuizenga,MI-2
Justin Amash ,Rep,3-Jan-11,justinamash,justinamash,,,MI-3
John Moolenaar ,Rep,3-Jan-15,RepMoolenaar,RepMoolenaar,RepMoolenaar,RepMoolenaar,MI-4
Dan Kildee ,Rep,3-Jan-13,RepDanKildee,RepDanKildee,RepDanKildee,RepDanKildee,MI-5
Fred Upton ,Rep,3-Jan-93,RepFredUpton,RepFredUpton,RepFredUpton,RepFredUpton,MI-6
